name,gender,age,job,task,work_days,difficulty,average_work_hour,average_rest,mood_before_work,mood_after_work,deadline,importance,sleep_average,productive_time,urgency,Gangguan dari atasan,Gangguan dari internal ,Gangguan dari kesehatan,Gangguan dari lingkungan sekitar ,Gangguan dari perangkat elektronik ,Gangguan dari teman atau rekan kerja,Gangguan internet,Gangguan jawa,MATI LAMPU 😡,Mood ,Panggilan Telepon,Tidak ada,ajakan bermain
Larry Wise,0,27,0,0,4,2,10.1,3.9,0,0,3,1,2.1,0,3,0,1,0,0,1,0,0,0,1,0,0,0,1
Joy Hunt,0,36,0,3,3,3,2.9,3.5,2,2,3,4,8.1,1,2,0,1,1,1,1,0,1,1,1,0,1,1,1
Justin Castro,0,27,2,3,7,4,9.0,3.4,0,0,3,2,2.7,1,4,1,1,1,0,0,1,1,1,0,0,1,1,1
Christopher Chavez,1,26,1,4,3,4,2.4,1.8,0,0,2,2,4.6,0,5,0,0,0,1,0,1,0,0,0,1,0,0,1
Lisa Schultz,1,24,3,0,3,4,1.1,1.3,1,1,1,5,3.6,2,4,0,0,1,1,1,1,1,0,1,1,1,0,1
Brian Torres,0,35,2,5,6,4,5.5,1.4,2,0,0,2,7.1,0,4,1,1,0,1,1,0,0,1,1,0,1,0,0
Troy Smith,0,29,3,3,5,5,4.1,3.2,1,0,0,2,1.8,0,1,0,1,1,0,1,1,0,1,1,1,1,0,0
Juan Harris,1,39,2,4,1,3,12.4,1.5,0,2,1,4,4.6,2,3,0,1,1,0,0,1,1,0,1,0,0,0,1
Stacy Harris,0,20,4,6,7,3,1.7,2.0,0,2,2,5,5.1,1,5,0,0,0,0,0,0,0,0,0,0,1,1,0
Nicole Tran,0,36,3,1,7,2,11.0,1.7,0,0,4,1,3.8,4,4,1,1,0,0,0,1,1,0,0,1,1,1,1
Kathryn Morton,0,29,0,6,2,2,10.7,1.4,1,1,4,2,3.5,2,4,1,1,1,1,1,1,1,0,1,1,0,1,0
Edward Burton,0,38,0,5,7,2,1.9,2.0,2,2,4,5,8.0,0,5,0,0,1,1,1,0,0,0,0,1,1,0,0
Kimberly Winters,1,34,3,6,7,2,1.7,3.2,0,2,1,1,3.7,3,2,1,0,1,0,1,1,1,1,0,0,0,0,1
Steven Carter,0,32,4,5,5,4,11.7,3.9,0,2,1,2,8.1,0,5,1,0,0,0,0,1,0,1,1,1,1,1,1
Michael Lloyd,1,35,4,1,6,2,9.5,1.4,1,1,2,5,6.6,3,3,0,1,1,1,0,1,1,1,0,1,1,1,0
Gloria Carter,0,34,3,6,5,4,4.1,1.3,2,2,3,3,5.5,3,2,1,1,0,1,1,0,1,1,0,0,1,0,1
Timothy Harris,0,26,2,0,3,3,2.4,3.1,0,1,1,2,7.1,4,1,0,1,1,0,0,0,0,1,0,1,0,1,0
Lauren Martinez,1,23,0,5,6,3,8.8,2.0,0,0,2,5,3.2,2,2,0,0,1,1,1,1,0,0,0,1,0,0,0
Jeremy Hill,0,34,3,2,4,5,12.5,1.5,1,2,2,5,4.5,4,2,1,1,1,0,1,0,1,0,1,1,0,0,1
Heidi Ramos,1,26,1,1,1,1,3.1,2.7,1,0,4,1,3.5,1,5,0,0,1,0,1,0,0,1,0,1,1,1,0
Megan Banks,0,33,3,0,5,2,11.8,3.0,1,0,4,1,6.5,2,5,0,1,1,1,0,0,0,0,0,1,0,0,0
Luke Downs,1,27,2,6,7,2,7.7,2.2,2,1,1,4,7.1,4,2,1,0,1,0,1,1,1,0,1,0,0,1,1
Adrian Conway,1,24,0,3,4,4,2.8,1.3,0,2,3,5,4.0,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0
Marie Lewis,0,32,3,4,3,2,2.2,3.8,2,0,4,1,1.4,3,3,0,1,1,1,0,0,0,1,1,1,1,0,1
Kenneth Rodriguez,0,27,0,3,7,2,1.3,3.2,2,0,3,4,7.6,3,5,0,1,1,0,0,0,0,0,0,0,1,0,1
Jennifer Bates,0,24,3,0,1,5,6.8,2.7,2,1,1,4,7.4,0,2,1,1,0,1,1,0,1,0,1,0,0,1,1
Robert Mcgee,1,31,4,6,2,4,1.5,1.3,0,0,2,4,4.5,3,3,0,1,1,1,1,0,1,0,1,1,0,1,0
Charles Nelson,0,27,1,3,2,3,11.0,1.2,2,2,0,4,2.7,1,1,0,0,1,1,0,0,0,1,0,0,0,1,0
Mark Garner,0,36,4,6,1,4,1.3,1.2,1,1,1,3,3.2,0,3,0,0,0,1,0,0,0,0,0,0,1,0,1
Brent Jones,0,33,2,6,4,4,2.0,1.2,0,1,2,4,1.3,4,4,1,0,1,0,0,1,1,1,0,1,0,1,0
Luis Ward,0,37,0,5,4,2,4.2,2.1,0,1,2,2,7.5,2,3,1,0,0,1,0,1,1,1,0,1,0,1,0
Susan Ramos,1,38,4,5,7,1,4.6,2.4,0,2,0,2,4.4,0,4,0,1,1,0,0,0,0,1,1,0,0,0,0
Angela Vazquez,0,39,4,4,3,3,8.3,2.8,2,0,2,2,1.1,0,3,0,1,1,0,1,0,1,1,0,0,1,0,0
Shelly Mcneil,0,32,0,6,7,5,10.6,2.6,2,2,2,1,2.0,0,2,0,0,0,1,1,1,0,1,1,1,0,0,0
Mrs. Lisa Moore,0,37,3,5,1,5,4.5,3.2,1,1,2,4,6.6,3,3,0,0,0,1,1,1,1,0,0,1,0,1,0
Scott Beck,1,26,1,6,4,4,9.5,1.3,2,2,2,3,2.1,4,1,1,1,0,1,1,1,0,0,0,1,1,1,0
Erin Higgins,1,33,2,4,6,2,1.9,3.9,1,0,1,3,3.6,2,5,1,0,1,0,1,1,0,0,1,1,0,1,0
Matthew Herrera,1,36,0,3,4,1,9.5,3.9,1,2,4,3,1.8,2,1,0,1,0,1,0,1,1,1,1,0,1,0,0
Paul James,1,21,3,0,5,3,1.2,3.5,0,1,0,4,3.4,0,5,1,1,0,0,1,1,0,0,1,0,1,1,1
Shawn White,1,22,1,3,6,2,3.7,3.6,2,2,2,4,2.4,4,2,1,1,1,1,0,1,0,1,0,0,0,0,1
Deborah Lawson,0,26,2,0,7,2,5.1,1.8,0,1,0,2,2.2,2,5,0,0,0,0,1,1,1,0,1,1,0,1,0
Travis Rhodes,1,30,2,2,4,4,2.6,1.2,0,2,0,4,1.5,0,5,1,0,1,0,0,0,1,0,1,1,0,0,0
Douglas Peterson,1,38,1,6,2,1,10.6,3.6,0,2,2,4,3.1,1,4,1,0,0,0,1,0,1,1,0,0,1,1,0
Rebecca Carr,0,31,0,4,7,2,11.3,3.9,2,2,4,1,5.5,4,2,0,1,1,0,1,0,0,1,0,1,1,1,0
Luis Leblanc,1,26,3,4,7,5,11.1,2.5,0,1,0,1,7.8,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1
Angelica Duke,0,37,1,6,2,3,6.7,2.6,0,1,3,1,3.8,3,1,0,1,0,0,1,1,1,0,0,1,0,1,0
Janice Clark,0,39,3,0,1,4,10.7,3.9,0,0,0,3,1.5,3,2,1,1,1,0,1,0,0,1,1,0,0,0,1
Teresa Carrillo,1,37,3,2,7,2,9.4,2.2,0,1,3,3,3.2,4,1,1,1,0,1,1,1,0,1,0,1,0,0,0
Morgan Barnes,1,38,0,1,1,5,7.6,2.6,1,2,1,4,1.1,3,5,1,1,0,1,0,1,1,1,0,1,0,1,1
Heidi Martin,0,20,4,6,4,3,9.6,3.2,0,2,2,2,6.1,4,1,0,0,1,0,0,0,1,0,1,0,0,1,0
Eddie Mitchell,0,24,4,1,5,3,6.8,3.5,2,2,2,4,1.3,4,5,1,0,0,0,1,1,1,1,1,0,0,0,1
Madison Kelly,1,37,3,5,1,4,1.1,3.2,0,0,0,2,2.8,3,2,1,1,1,1,0,0,0,1,1,0,1,0,1
Jennifer Carson,0,33,1,5,7,5,1.1,2.9,2,1,0,4,7.7,3,5,1,1,0,0,0,0,0,1,1,1,1,1,1
Amber Franco,0,23,4,1,1,1,6.2,1.3,1,0,1,3,4.3,4,5,1,0,0,1,1,1,0,1,1,0,0,1,0
Jennifer Dean,0,24,0,0,3,4,11.4,1.6,2,1,2,1,1.3,2,4,1,1,0,1,0,0,0,0,1,1,1,1,1
Michael Herring,1,31,0,1,3,1,5.2,1.1,1,2,0,4,3.0,3,1,0,0,1,0,1,1,0,0,1,1,0,1,1
Lisa Pierce,0,33,1,5,1,4,7.9,2.2,1,1,3,3,4.8,0,5,1,1,0,0,0,0,1,0,0,0,1,0,1
Dr. Donna Mejia,1,22,2,4,7,3,5.4,3.6,0,1,3,2,6.8,1,4,0,1,0,1,0,1,0,0,0,0,1,0,1
Lauren Gonzalez,1,39,1,2,7,2,1.7,2.3,0,0,1,2,3.8,3,2,1,0,1,1,0,1,1,0,0,0,1,0,0
Susan Tran,1,32,4,4,1,3,3.7,1.7,1,2,3,2,5.1,2,1,0,1,0,1,1,1,0,0,0,1,0,1,1
